"Bucket","Area","ID","ItemType","Title","Priority","Milestone","Status","XBrowser_Current","XBrowser_Task","Suggested_Files","DependsOn","Done_Criteria","Test_Steps","SourceCsv"
"developed","Accessibility","INT-033","Interaction","侧栏键盘导航：上下选择 tab、Enter 激活、Delete 关闭","P3","M3","done","当前 ListView 默认焦点/按键行为不足。","为 tab ListView 增加 Keys 处理与 currentIndex 跟随；Delete 调用 close-tab；Enter 激活。","ui/qml/BrowserWindow.qml","","不使用鼠标也能完成 tab 选择/关闭。","聚焦侧栏 -> ↑↓ -> Enter 激活；Delete 关闭","zen_browser_interaction_plan.csv"
"developed","Build/Packaging","ZEN-001","Feature","纳入 Zen 源码目录","P3","M4","done","已记录","已记录：Zen 通过 moz.build 集成到构建（非纯 runtime 注入）；XBrowser 等价为 CMake + QRC/QML。","docs/ZEN_BUILD_NOTES.md","","确认 Zen 是通过 moz.build 集成而非仅 runtime 注入","打开 docs/ZEN_BUILD_NOTES.md 并检查 ZEN-001 小节","zen_browser_feature_impl_plan.csv"
"developed","Build/Packaging","ZEN-002","Feature","打包 Zen 资源到 browser.jar","P3","M4","done","已记录","已记录：Zen 通过 jar manifest 将资源映射到 chrome://browser/...；XBrowser 等价为 QRC + QML 资源组织。","docs/ZEN_BUILD_NOTES.md","","列清 Zen 的资源入口与加载点即可","打开 docs/ZEN_BUILD_NOTES.md 并检查 ZEN-002 小节","zen_browser_feature_impl_plan.csv"
"developed","Build/Startup","ZEN-003","Feature","组件与 WindowActor 注册","P2","M3","done","部分实现","(可选)XBrowser 若需要 content 注入/拦截，需设计 WebView2 的消息/脚本注入机制","src/engine/webview2/WebView2View.*","","能在内容页范围内注入脚本并与宿主双向通信","","zen_browser_feature_impl_plan.csv"
"developed","CompactMode","INT-003","Interaction","紧凑模式 hover 展开：加入延迟/滞回，避免抖动","P1","M1","done","当前用两个 6px MouseArea 即时切换 compactTopHover/compactSidebarHover，容易抖动。","引入 hover 进入/离开定时器与滞回；鼠标从边缘进入到真实区域时不闪烁；离开后稍延迟收起。","ui/qml/BrowserWindow.qml","INT-001","compact 模式下 hover 展开稳定，不因快速划过边缘闪烁。","开启 compactMode -> 快速划过窗口顶边/左边 20 次 -> UI 不闪","zen_browser_interaction_plan.csv"
"developed","CompactMode","ZEN-140","Feature","紧凑模式(隐藏/悬停显示)","P2","M3","done","已实现(基础)","在 XBrowser：实现 CompactMode：自动隐藏地址栏/侧栏并悬停显示（可先做手动切换）","ui/qml/BrowserWindow.qml; (建议新增) src/core/LayoutController.*","ZEN-031","可切换紧凑模式且基本可用，不影响导航/输入","","zen_browser_feature_impl_plan.csv"
"developed","Core","ZEN-030","Feature","全局预加载脚本注入","MVP","M1","done","已实现(基础)","在 XBrowser：用单例 Controller/Service 注入 QML context（如 BrowserController + WorkspaceController）","src/core/BrowserController.*; (建议新增) src/core/WorkspaceController.*","ZEN-021","QML 层可访问统一的 controller/service，对应 Zen 的 gZen*","","zen_browser_feature_impl_plan.csv"
"developed","Core/Polyfill","ZEN-220","Feature",":has 选择器观察与属性桥","P2","M3","done","未实现","在 XBrowser：用 QML States/Bindings/Connections 实现等价的状态派生与样式切换","ui/qml/components/*","ZEN-140","UI 状态派生清晰（popup open/hover/focus）且不靠到处写 if","","zen_browser_feature_impl_plan.csv"
"developed","Core/Tabs","INT-010","Interaction","真正的“切换 tab 不重载”：为每个 tab 维护独立 WebView2 实例（或池化）","P0","M2","done","当前切换 tab 会 navigate 到 url，页面状态丢失且切换慢。","引入 TabWebContents/TabViewPool：每个 tab 绑定一个 WebView2 controller；active 时显示，inactive 时隐藏/冻结；为多 tab 做基础。","src/engine/webview2/*; src/core/TabModel.*; ui/qml/BrowserWindow.qml","","切换 tab 不触发 reload；页面滚动位置/表单状态保留（至少在同一进程生命周期内）。","打开页面滚动到中间 -> 切到其他 tab -> 切回：滚动位置仍在","zen_browser_interaction_plan.csv"
"developed","Core/Tabs","INT-011","Interaction","TabModel 扩展：记录 favicon/音频/加载/最后激活时间等状态","P1","M2","done","TabModel 仅存 url/title/essential/groupId；UI 难以做细节。","为 TabModel 增加可选 state role（faviconUrl、isLoading、isAudioPlaying、isMuted、lastActivatedMs 等），先从 active tab 回填。","src/core/TabModel.*; src/engine/webview2/WebView2View.*","INT-010","QML 可直接绑定这些状态；状态更新不会卡 UI。","播放音频 -> TabModel 对应条目 isAudioPlaying=true","zen_browser_interaction_plan.csv"
