"Bucket","Area","ID","ItemType","Title","Priority","Milestone","Status","XBrowser_Current","XBrowser_Task","Suggested_Files","DependsOn","Done_Criteria","Test_Steps","SourceCsv","SourceKind"
"developing","Accessibility","NEXT-V5-053","Interaction","无障碍：关键控件 accessibleName 与键盘导航","P2","M20","todo","QML 控件缺少 accessibleName 与 focus ring","为地址栏/侧栏tab列表/主要按钮/对话框控件补齐 Accessible.name；统一 focus ring 样式；Tab/Shift+Tab 导航顺序可预期","ui/qml/BrowserWindow.qml; ui/qml/components/*.qml","","仅用键盘可完成常用流程且焦点可见","仅键盘：Ctrl+L 输入 URL 回车->Ctrl+K 切换 tab->Alt 打开菜单->打开 Settings->Esc 关闭；观察焦点可见；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Core/UI","NEXT-V5-054","Interaction","自定义相关单测：theme/workspace/sidebar buttons","P2","M20","todo","单测未覆盖新字段","扩展现有单测覆盖 themeAccent/themeRadius/workspaceAccent/sidebarButtons 的保存与回读","tests/TestThemeSystem.cpp; tests/TestWorkspaceModel.cpp; tests/TestAppSettings.cpp","NEXT-V5-049","ctest 覆盖新增用例且通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Data","NEXT-V5-022","Interaction","书签：引入文件夹层级与排序","P0","M17","todo","BookmarksStore 仅支持扁平列表（无 folder）","扩展 BookmarksStore schema：itemType(bookmark/folder)；parentId；order；提供 createFolder/rename/move/reorder；迁移旧数据","src/core/BookmarksStore.*; src/core/BookmarksFilterModel.*; tests/TestBookmarksStore.cpp","","可创建文件夹并把书签移动进去且重启后结构保持","收藏2个书签->创建文件夹->移动其中一个->重启->结构保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Data","NEXT-V5-015","Interaction","清理本地数据：History/Downloads/Permissions 统一清理","P1","M16","todo","各 store 独立且缺少统一清理 API","HistoryStore 增加 clearRange；DownloadModel 增加 clearAll/clearCompleted；SitePermissionsStore 增加 resetAll；ClearDataDialog 根据选项调用对应 API","src/core/HistoryStore.*; src/core/DownloadModel.*; src/core/SitePermissionsStore.*; ui/qml/components/ClearDataDialog.qml","NEXT-V5-013","选择清理历史/下载/权限后对应面板立即为空且重启不恢复","产生历史+下载+权限记录->清理所选类型->打开面板确认为空->重启确认仍为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Data","NEXT-V5-020","Interaction","清理相关单测：History clearRange 与 Permissions resetAll","P1","M16","todo","现有单测未覆盖批量清理 API","扩展 TestHistoryStore/TestSitePermissionsStore 覆盖 clearRange/resetAll 与时间边界；确保 ctest 通过","tests/TestHistoryStore.cpp; tests/TestSitePermissionsStore.cpp; src/core/HistoryStore.*; src/core/SitePermissionsStore.*","NEXT-V5-015","新增用例覆盖且 ctest 通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Data","NEXT-V5-027","Interaction","书签单测：folder/move/import/export","P1","M17","todo","TestBookmarksStore 覆盖不足","扩展 TestBookmarksStore 覆盖：folder create/rename/move；reorder；HTML import/export；错误场景","tests/TestBookmarksStore.cpp; src/core/BookmarksStore.*","NEXT-V5-025","新增用例覆盖且 ctest 通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Data","NEXT-V5-028","Interaction","历史：按域名/时间过滤与导出 CSV","P1","M17","todo","HistoryStore 缺少导出与批量删除","HistoryStore 增加 query(domain,range,limit)；exportToCsv(path,range)；支持删除单条与按域名批量删除","src/core/HistoryStore.*; tests/TestHistoryStore.cpp","","可导出 CSV 且包含 title/url/time 且删除 API 生效","运行单测覆盖导出与删除；手动访问3站点后在 HistoryPanel 验证删除生效；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Data","NEXT-V5-030","Interaction","历史单测：query/export/delete","P1","M17","todo","TestHistoryStore 未覆盖导出与批量删除","扩展 TestHistoryStore：覆盖 query domain/range；exportToCsv 输出内容；deleteByDomain 与 deleteEntry","tests/TestHistoryStore.cpp; src/core/HistoryStore.*","NEXT-V5-028","ctest 覆盖新增用例且通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Data","NEXT-V5-025","Interaction","书签导入导出：HTML（Netscape Bookmark File）","P2","M17","todo","无导入导出能力","BookmarksStore 实现 exportToHtml/importFromHtml；支持 folder；解析常见 HTML；单测覆盖 roundtrip 与错误处理","src/core/BookmarksStore.*; tests/TestBookmarksStore.cpp","NEXT-V5-022","TestBookmarksStore 覆盖 import/export roundtrip 且 ctest 通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","DnD","NEXT-V5-024","Interaction","书签拖拽：排序与移动到文件夹","P1","M17","todo","书签列表不支持拖拽","BookmarksPanel 增加 Drag/Drop：同级 reorder；拖到 folder 进入；拖出返回根；更新 BookmarksStore 并持久化","ui/qml/components/BookmarksPanel.qml; src/core/BookmarksStore.*","NEXT-V5-022","拖拽可改变顺序与父文件夹且重启后保持","新建3个书签->拖拽调整顺序->拖到文件夹->重启->顺序与层级保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Downloads","NEXT-V5-032","Interaction","下载持久化：跨重启保留列表与状态","P1","M18","todo","DownloadModel 仅内存态且重启丢失","设计 downloads.json schema（id/url/path/state/bytes/finishedAt）；DownloadModel load/save；预留 version 便于迁移","src/core/DownloadModel.*; src/core/AppPaths.*; tests/TestDownloadModel.cpp","","重启后下载列表仍在且已完成项状态正确","完成一个下载->关闭/重启->打开下载面板->仍可见且可 open folder；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Downloads","NEXT-V5-034","Interaction","下载动作补齐：Pause/Resume/Cancel/Open/Open Folder/Copy URL","P1","M18","todo","下载项动作不完整","DownloadModel 增加对应 invokable；DownloadsDialog 增加按钮与右键菜单；失败显示原因与重试","src/core/DownloadModel.*; ui/qml/components/DownloadsDialog.qml; ui/qml/components/ContextMenu.qml","NEXT-V5-032","下载项可暂停/继续/取消且 Open/Open Folder 可用","开始一个大文件下载->暂停->继续->完成->Open Folder；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Downloads","NEXT-V5-037","Interaction","下载持久化单测与回归","P1","M18","todo","TestDownloadModel 未覆盖 save/load","扩展 TestDownloadModel 覆盖：保存后回读；completed/failed 状态；清理 completed；schema version","tests/TestDownloadModel.cpp; src/core/DownloadModel.*","NEXT-V5-032","ctest 覆盖新增用例且通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Downloads","NEXT-V5-033","Interaction","下载面板增强：分组/搜索/批量清理","P2","M18","todo","DownloadsDialog 信息密度与操作不足","DownloadsDialog 增加分组（In progress/Completed/Failed）；搜索；批量清理 completed；显示速度/ETA（可选）","ui/qml/components/DownloadsDialog.qml; src/core/DownloadModel.*","NEXT-V5-032","可搜索下载项并一键清理 completed 且不影响进行中","产生>=3条下载（至少1完成）->打开下载面板->搜索->清理 completed->仅进行中保留；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","DX","NEXT-V5-056","Interaction","一键自检脚本：build+ctest（Debug）","P2","M21","todo","测试命令分散且新贡献者易漏跑","新增 scripts/check.ps1：cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure；失败返回非0；更新 docs/RUNNING.md","scripts/check.ps1 (new); docs/RUNNING.md","","运行 scripts/check.ps1 可完成 build+ctest 且失败会中止","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/check.ps1","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Extensions","NEXT-V5-065","Interaction","扩展工具栏溢出：pinned 超出时收纳到 overflow menu","P2","M22","todo","pinned 扩展过多可能挤压布局或不可达","在 toolbar 增加 overflow 按钮；超过宽度的 pinned icons 放入菜单；支持点击打开 popup；保持顺序","ui/qml/BrowserWindow.qml; ui/qml/components/ExtensionsDialog.qml","","安装并固定多个扩展后出现 overflow 且所有扩展可点击打开","固定>=10个扩展->出现 overflow->点击菜单项打开对应 popup；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Extensions","NEXT-V5-066","Interaction","扩展 Site Access 展示：host permissions 可读且有基本提示","P2","M22","todo","扩展详情信息不完整","ExtensionsDialog 详情抽屉增加 permissions/host permissions 展示；对 <all_urls> 做醒目提示；支持复制","ui/qml/components/ExtensionsDialog.qml; src/core/ExtensionsStore.*; src/engine/webview2/BrowserExtensionsModel.*","","打开扩展详情可看到 host permissions 且 <all_urls> 有提示","安装一个有 host permissions 的扩展->打开详情->信息完整；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Extensions","NEXT-V5-068","Interaction","扩展相关单测：overflow 逻辑与权限展示","P2","M22","todo","缺少扩展新增逻辑的单测","追加 QtTest：ExtensionsStore 解析 host permissions；overflow 计算逻辑可单测（提取到 helper）；ctest 通过","tests/TestExtensionsStore.cpp; src/core/ExtensionsStore.*","NEXT-V5-066","ctest 覆盖新增用例且通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Extensions","NEXT-V5-067","Interaction","扩展快捷键：展示 commands 并与 ShortcutStore 冲突提示","P3","M22","todo","扩展快捷键不可见","获取 extension commands（若可用则接入）；在 ExtensionsDialog 展示列表；与 ShortcutStore 检测冲突并提示","src/core/ExtensionsStore.*; ui/qml/components/ExtensionsDialog.qml; src/core/ShortcutStore.*","NEXT-V5-066","扩展详情页可看到快捷键并在冲突时提示","安装带 command 的扩展->打开详情->看到 shortcut；设置一个冲突快捷键->显示警告；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Glance","NEXT-V5-046","Interaction","Tab hover 预览弹层：不被裁剪且靠近边缘自动翻转","P1","M19","todo","当前无 hover preview","使用 PopupManager 显示 TabPreviewPopup：thumbnail+title+url；边缘自动翻转；延迟 300ms 出现；移出即关闭","ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml; ui/qml/components/TabPreviewPopup.qml (new)","NEXT-V5-045","hover tab 后出现预览且靠近窗口边缘仍完整可见","缩小窗口->hover 最底部 tab->预览弹层自动翻转且完整；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Meta/Process","NEXT-V5-021","Interaction","模块验收与归档(M16 Privacy/Data Control)","P0","M16","todo","M16 任务尚未归档","完成 NEXT-V5-013..020 后把 Status 置为 done；运行合并脚本刷新 merged CSV","reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1","NEXT-V5-013","merged_developing 中不再包含 NEXT-V5-013..021 且 areas/counts 更新","修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_counts_by_area.csv","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Meta/Process","NEXT-V5-031","Interaction","模块验收与归档(M17 Bookmarks/History Pro)","P0","M17","todo","M17 任务尚未归档","完成 NEXT-V5-022..030 后把 Status 置为 done；运行合并脚本刷新 merged CSV","reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1","NEXT-V5-022","merged_developing 中不再包含 NEXT-V5-022..031 且 areas/counts 更新","修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_developed.csv","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Meta/Process","NEXT-V5-038","Interaction","模块验收与归档(M18 Downloads Pro)","P0","M18","todo","M18 任务尚未归档","完成 NEXT-V5-032..037 后把 Status 置为 done；运行合并脚本刷新 merged CSV","reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1","NEXT-V5-032","merged_developing 中不再包含 NEXT-V5-032..038 且 counts 更新","修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_counts_by_area.csv","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Meta/Process","NEXT-V5-048","Interaction","模块验收与归档(M19 Tabs/Workspaces/Preview)","P0","M19","todo","M19 任务尚未归档","完成 NEXT-V5-039..047 后把 Status 置为 done；运行合并脚本刷新 merged CSV","reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1","NEXT-V5-039","merged_developing 中不再包含 NEXT-V5-039..048 且 counts 更新","修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_areas.csv","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Meta/Process","NEXT-V5-055","Interaction","模块验收与归档(M20 Customization/Accessibility)","P0","M20","todo","M20 任务尚未归档","完成 NEXT-V5-049..054 后把 Status 置为 done；运行合并脚本刷新 merged CSV","reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1","NEXT-V5-049","merged_developing 中不再包含 NEXT-V5-049..055 且 areas/counts 更新","修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_developing.csv","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Meta/Process","NEXT-V5-060","Interaction","模块验收与归档(M21 Engineering/Delivery)","P0","M21","todo","M21 任务尚未归档","完成 NEXT-V5-056..059 后把 Status 置为 done；运行合并脚本刷新 merged CSV","reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1","NEXT-V5-056","merged_developing 中不再包含 NEXT-V5-056..060 且 counts 更新","修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_all.csv","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Meta/Process","NEXT-V5-073","Interaction","模块验收与归档(M22 Omnibox/Extensions/SplitView)","P0","M22","todo","M22 任务尚未归档","完成 NEXT-V5-061..072 后把 Status 置为 done；运行合并脚本刷新 merged CSV","reference/developing/zen_browser_next_plan_v5.csv; scripts/merge_plans.ps1","NEXT-V5-061","merged_developing 中不再包含 NEXT-V5-061..073 且 counts 更新","修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_counts_by_area.csv","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Mods","NEXT-V5-051","Interaction","Mods 注入网页：启用后对所有页面生效且可实时更新","P2","M20","todo","ModsModel 有 combinedCss 但未确认已注入 WebView2","WebView2View 增加 setUserCss(css)；通过 AddScriptToExecuteOnDocumentCreated 注入 style；监听 ModsModel.combinedCssChanged 并更新所有 view；提供开关","src/core/ModsModel.*; src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml","","启用一个简单 CSS mod 后页面背景/字体变化且新开 tab 自动应用","新建 mod：body{background:red;}->打开网页->背景变红->禁用->恢复；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","NativeUtils","NEXT-V5-036","Interaction","打开文件/文件夹：统一 ShellExecute 封装","P3","M18","todo","打开路径逻辑分散且错误处理不一致","新增 NativeUtils.openPath/openFolder；Downloads/Bookmarks/Diagnostics 复用；处理错误 toast","src/platform/windows/NativeUtils.* (new); src/app/main.cpp; ui/qml/BrowserWindow.qml","","openPath/openFolder 在路径含空格时可用且失败有提示","用含空格的临时目录下载文件->Open Folder->成功；将路径设为不存在->提示错误；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
