"Bucket","Area","ID","ItemType","Title","Priority","Milestone","Status","XBrowser_Current","XBrowser_Task","Suggested_Files","DependsOn","Done_Criteria","Test_Steps","SourceCsv","SourceKind"
"developing","Accessibility","NEXT-V5-053","Interaction","无障碍：关键控件 accessibleName 与键盘导航","P2","M20","todo","QML 控件缺少 accessibleName 与 focus ring","为地址栏/侧栏tab列表/主要按钮/对话框控件补齐 Accessible.name；统一 focus ring 样式；Tab/Shift+Tab 导航顺序可预期","ui/qml/BrowserWindow.qml; ui/qml/components/*.qml","","仅用键盘可完成常用流程且焦点可见","仅键盘：Ctrl+L 输入 URL 回车->Ctrl+K 切换 tab->Alt 打开菜单->打开 Settings->Esc 关闭；观察焦点可见；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developed","Accessibility","INT-033","Interaction","侧栏键盘导航：上下选择 tab、Enter 激活、Delete 关闭","P3","M3","done","当前 ListView 默认焦点/按键行为不足。","为 tab ListView 增加 Keys 处理与 currentIndex 跟随；Delete 调用 close-tab；Enter 激活。","ui/qml/BrowserWindow.qml","","不使用鼠标也能完成 tab 选择/关闭。","聚焦侧栏 -> ↑↓ -> Enter 激活；Delete 关闭","logs/zen_browser_interaction_plan.csv","logs"
"developed","Build/Packaging","ZEN-001","Feature","纳入 Zen 源码目录","P3","M4","done","已记录","已记录：Zen 通过 moz.build 集成到构建（非纯 runtime 注入）；XBrowser 等价为 CMake + QRC/QML。","docs/ZEN_BUILD_NOTES.md","","确认 Zen 是通过 moz.build 集成而非仅 runtime 注入","打开 docs/ZEN_BUILD_NOTES.md 并检查 ZEN-001 小节","logs/zen_browser_feature_impl_plan.csv","logs"
"developed","Build/Packaging","ZEN-002","Feature","打包 Zen 资源到 browser.jar","P3","M4","done","已记录","已记录：Zen 通过 jar manifest 将资源映射到 chrome://browser/...；XBrowser 等价为 QRC + QML 资源组织。","docs/ZEN_BUILD_NOTES.md","","列清 Zen 的资源入口与加载点即可","打开 docs/ZEN_BUILD_NOTES.md 并检查 ZEN-002 小节","logs/zen_browser_feature_impl_plan.csv","logs"
"developed","Build/Startup","ZEN-003","Feature","组件与 WindowActor 注册","P2","M3","done","部分实现","(可选)XBrowser 若需要 content 注入/拦截，需设计 WebView2 的消息/脚本注入机制","src/engine/webview2/WebView2View.*","","能在内容页范围内注入脚本并与宿主双向通信","","logs/zen_browser_feature_impl_plan.csv","logs"
"developed","CompactMode","DEV-UI-013","Interaction","CompactMode：Find Bar 打开时顶栏保持展开","P1","M12","done","当前 FindBar 通过 ToolWindowManager 打开但 LayoutController 未识别该状态，compactMode 下可能导致顶栏折叠","LayoutController 新增 toolWindowManagerContext 并识别 find-bar；compactMode 下保持 showTopBar=true","src/core/LayoutController.*; ui/qml/BrowserWindow.qml; tests/TestLayoutController.cpp","DEV-UI-001","compactMode 下 Ctrl+F 打开 FindBar 后顶栏保持展开且不抖动；关闭 FindBar 后可恢复折叠；ctest 通过","开启 compactMode；鼠标离开顶部使顶栏折叠；按 Ctrl+F 打开 FindBar：顶栏展开并保持；关闭 FindBar：顶栏可再次折叠；运行 cmake --build build --config Debug；cd build; ctest -C Debug --output-on-failure","developing/zen_browser_developing_plan.csv","developing"
"developed","CompactMode","INT-003","Interaction","紧凑模式 hover 展开：加入延迟/滞回，避免抖动","P1","M1","done","当前用两个 6px MouseArea 即时切换 compactTopHover/compactSidebarHover，容易抖动。","引入 hover 进入/离开定时器与滞回；鼠标从边缘进入到真实区域时不闪烁；离开后稍延迟收起。","ui/qml/BrowserWindow.qml","INT-001","compact 模式下 hover 展开稳定，不因快速划过边缘闪烁。","开启 compactMode -> 快速划过窗口顶边/左边 20 次 -> UI 不闪","logs/zen_browser_interaction_plan.csv","logs"
"developed","CompactMode","DEV-UI-016","Interaction","CompactMode：hover 进入/退出时序对齐 UX_SPEC","P2","M13","done","compactTop/compactSidebar 进入/退出 timer 时序与 UX_SPEC 不一致","调整 compactTopEnter/Exit 与 compactSidebarEnter/Exit 的 interval 为 120ms/300ms","ui/qml/BrowserWindow.qml","DEV-MOTION-002","compactMode 下顶部/侧栏 hover 展开与折叠时序符合 120ms/300ms 且无明显抖动；ctest 通过","开启 compactMode；反复进入/离开顶部与侧栏 hover 区观察时序；打开 main menu/downloads/omnibox 等弹层确认锚点仍稳定；运行 cmake --build build --config Debug；cd build; ctest -C Debug --output-on-failure","developing/zen_browser_developing_plan.csv","developing"
"developed","CompactMode","ZEN-140","Feature","紧凑模式(隐藏/悬停显示)","P2","M3","done","已实现(基础)","在 XBrowser：实现 CompactMode：自动隐藏地址栏/侧栏并悬停显示（可先做手动切换）","ui/qml/BrowserWindow.qml; (建议新增) src/core/LayoutController.*","ZEN-031","可切换紧凑模式且基本可用，不影响导航/输入","","logs/zen_browser_feature_impl_plan.csv","logs"
"developed","Core","ZEN-030","Feature","全局预加载脚本注入","MVP","M1","done","已实现(基础)","在 XBrowser：用单例 Controller/Service 注入 QML context（如 BrowserController + WorkspaceController）","src/core/BrowserController.*; (建议新增) src/core/WorkspaceController.*","ZEN-021","QML 层可访问统一的 controller/service，对应 Zen 的 gZen*","","logs/zen_browser_feature_impl_plan.csv","logs"
